title,author,release_date,page_count,language,publisher,genre,format,reviews,ratings,description,avg_score,ibsn,link
Baśnie polskie,Józef Ignacy Kraszewski,2002-01-01,45,polski,SARA,"baśnie, legendy, podania",papier,1,1,Ta książka nie posiada jeszcze opisu.,"6,0",8372972893,https://lubimyczytac.pl/ksiazka/4960737/basnie-polskie
Tajemnice polskiej ziemi. Legendy i podania różnych regionów Polski,Maria Krüger,2002-01-01,176,polski,Siedmioróg,"baśnie, legendy, podania",papier,1,0,"""Tajemnice polskiej ziemi"" to najpiękniejsze baśnie i legendy polskie w interpretacji znakomitej autorki, Marii Kruger. W wyborze znalazły się podania o Lechu i Królu Zygmuncie, historia toruńskich pierników i warszawskiej Syrenki, legenda o Złotej Kaczce oraz wiele innych barwnych opowieści przybliżających polską tradycję i historię.","8,0",8371624298,https://lubimyczytac.pl/ksiazka/4869165/tajemnice-polskiej-ziemi-legendy-i-podania-roznych-regionow-polski
Księżniczka na ziarnku grochu,Hans Christian Andersen,2002-01-01,12,polski,Zielona Sowa,"baśnie, legendy, podania",papier,1,0,Ilustracje Aleksandra Michalska -Szwagierczak.,"7,0",8372202761,https://lubimyczytac.pl/ksiazka/5120960/ksiezniczka-na-ziarnku-grochu
Legendy słowińskie,Henryk Soja,2002-01-01,80,polski,Region,"baśnie, legendy, podania",papier,1,0,"Pierwszy po zakończeniu II wojny światowej, przygotowany w języku polskim, zbiór starych ludowych podań Kaszubów znad jezior Łebsko i Gardno, powszechnie znanych jako Słowińcy. Autorzy zbioru są pracownikami Muzeum Pomorza Środkowego i od lat związani są ze skansenem w Klukach – Muzeum Wsi Słowińskiej. Zbiorek ilustrowany grafikami Tomasza Góreckiego, zawiera także krótki opis skansenu w Klukach.","7,0",8387400920,https://lubimyczytac.pl/ksiazka/5094600/legendy-slowinskie
O pięknej korsarce i skarbach Rowokołu - Legenda pomorska,Jolanta Nitkowska-Węglarz,2002-01-01,24,polski,Agencja Reklamowo-Wydawnicza LenART,"baśnie, legendy, podania",papier,1,0,Ta książka nie posiada jeszcze opisu.,"10,0",8391733416,https://lubimyczytac.pl/ksiazka/5108368/o-pieknej-korsarce-i-skarbach-rowokolu---legenda-pomorska
Z biegiem Rudy,Bogdan Dzierżawa,2002-01-01,219,polski,Itatis,"baśnie, legendy, podania",papier,0,1,"""Rostomajnte som rzyki na świecie, ale dycko jedna jest twoja, ta nad kerom żeś się urodziył. Choćbyś potem widzioł tysiąc inkszych, zawsze bydziesz ta nojpiykniejszo pamiyntoł, chocioż by według tych drugich jak przikopka wyglądała""","0,0",8391440397,https://lubimyczytac.pl/ksiazka/4882672/z-biegiem-rudy
Legendy iłżeckie,Małgorzata Kosel,2002-01-01,54,polski,Miejsko-Gminna Biblioteka Publiczna w Iłży.,"baśnie, legendy, podania",papier,1,1,Zbiór 15 legend i podań o Iłży i jej okolicach. Powstał w odpowiedzi na zainteresowanie młodych czytelników i nauczycieli wprowadzających do edukacji elementy wiedzy o regionie przy zaangażowaniu merytorycznym Miejsko-Gminnej Biblioteki Publicznej w Iłży i wsparciu finansowym tamtejszego Urzędu Miejskiego.,"7,0",8391757404,https://lubimyczytac.pl/ksiazka/4847922/legendy-ilzeckie
Dawne podania ludowe z Lubania i okolic,Siegfried Brux,2002-01-01,,polski,Omega Studio Wydawniczo-Poligraficzne,"baśnie, legendy, podania",papier,0,0,"Autor książki urodził się w 1923 roku w Dolnym Wrociszowie powiat Lubań. Po zakończeniu drugiej wojny światowej zamieszkał na terenie Niemiec. Po latach wiedziony nostalgią oraz pasją badacza oddał się swoim zainteresowaniom historycznym. Niniejsza książka jest kolejną o kraju lat dziecinnych autora. Powstała po wielu podróżach do kraju ojczystego, miedzy innymi do teraźniejszego Archiwum Państwowego w Lubaniu. W książce przetłumaczonej na język polski przeczytamy sto różnorodnych bajek, historii i podań ludowych z terenu powiatu lubańskiego oraz Gryfowa.W naszej biblioteczce pozycja ta znalazła się, ponieważ możemy w niej przeczytać m.in. podania ludowe oraz legendy z Pobiednej, Unięcic, Wolimierza, Kasztanowej Alei oraz wielu innych okolicznych miejscowości.","0,0",8390787954,https://lubimyczytac.pl/ksiazka/5135288/dawne-podania-ludowe-z-lubania-i-okolic
Pieśni i legendy indiańskie,Piotr Madej,2002-01-01,143,polski,Miniatura,"baśnie, legendy, podania",papier,1,0,"Mały zbiór zawiera pieśni oraz legendy indian północnoamerykańskich oraz indian ameryki środkowej i południowej, które zostały zebrane i przetłumaczone przez Piotra Madeja. Część utworów, które zawiera niniejsza książka, drukowana była uprzednio w czasopiśmie ""Inny Świat"".","7,0",8370814921,https://lubimyczytac.pl/ksiazka/248166/piesni-i-legendy-indianskie
Ali Baba i czterdziestu rozbójników,Błażej Kusztelski,2002-01-01,31,polski,Oficyna Wydawnicza GMP,"baśnie, legendy, podania",papier,6,1,"Opowiadanie ""Ali Baba i czterdziestu rozbójników"" napisane przez Błażeja Kusztelskiego według baśni z ""tysiąca i jednej nocy"". Książeczkę wzbogacają ilustracje Jana Marcina Szancera.Baśń pochwalająca spryt i cierpliwość. Aktualna zarówno w dawnych czasach jak i w czasach współczesnych.","7,7",9788372720863,https://lubimyczytac.pl/ksiazka/4815872/ali-baba-i-czterdziestu-rozbojnikow
Legendy świętokrzyskie,Jerzy Stankiewicz,2002-01-01,72,polski,GLOB-TOUR,"baśnie, legendy, podania",papier,3,0,Ta książka nie posiada jeszcze opisu.,"6,0",8391530051,https://lubimyczytac.pl/ksiazka/4944152/legendy-swietokrzyskie
Baśnie. Tom 2,Hans Christian Andersen,2002-01-01,98,polski,Bertelsmann Media,"baśnie, legendy, podania",papier,4,0,Ta książka nie posiada jeszcze opisu.,"6,0",8373114718,https://lubimyczytac.pl/ksiazka/4860781/basnie-tom-2
O rybaku i złotej rybce,praca zbiorowa,2002-01-01,16,polski,Wydawnictwo Elżbieta Jarmołkiewicz,"baśnie, legendy, podania",papier,5,0,Ta książka nie posiada jeszcze opisu.,"6,2",8371176341,https://lubimyczytac.pl/ksiazka/3797820/o-rybaku-i-zlotej-rybce
Legendy polskie. Piosenki Syrenki,praca zbiorowa,2002-01-01,16,polski,Skrzat,"baśnie, legendy, podania",papier,1,0,"Skąd wzięły się rzeki, jak powstały miasta, jakie tajemnice kryją ruiny, co szepczą stare drzewa? O tym opowiadają piękne i mądre legendy, dzięki którym zwiedzimy cały kraj. W tym zeszycie przedstawiamy opowieści warszawskie.","7,0",8388642421,https://lubimyczytac.pl/ksiazka/267703/legendy-polskie-piosenki-syrenki
Ziemia Krzeszowicka w legendach i opowiadaniach,Janina Walkowicz,2002-01-01,40,polski,Urząd Miejski w Krzeszowicach,"baśnie, legendy, podania",papier,1,1,"""Lubimy baśnie, legendy i niesamowite opowieści. Szukamy ich w książkach, przywozimy z wakacji, a one często czekają tuż za progiem naszego domu. Wystarczy wsłuchać się w opowieści dziadków lub wybrać się na spacer po najbliższej okolicy i dać się ponieść wyobraźni. I już w murach zamku ""Tęczyn"" w Rudnie słychać szczęk oręża a w jego piwnicach tajemniczym blaskiem lśnią zaginione skarby, w pobliskich lasach mieszkają boginki i utopce, zaś zza filaru mostu z Czernej wyziera ukradkiem złośliwy diabełek.Jest wiele miejsc, które mijamy codziennie, nie myśląc o ich historii i ludziach, którzy ją tworzyli. Być może ta książka stanie się inspiracją do poszukiwania opowieści, opisów obrzedów i innych ciekawostek, tworzących tradycję naszego regionu. Stanowi ona zbiór prac, które zostały nagrodzone i wyróżnione w konkursie na najciekawszą opowieść, legendę o Ziemie Krzeszowickiej.""","7,0",8390286920,https://lubimyczytac.pl/ksiazka/3842691/ziemia-krzeszowicka-w-legendach-i-opowiadaniach
